華語,台語漢字,臺羅
蝦尾山螞蝗,阿猴舞草,A-k?u-b?-tsh?u
波葉山螞蝗,山毛豆花,Suann-m?o-t?u-hue
三點金草,三耳草,Sann-h?nn-tsh?u
三點金草,四季春,S?-ku?-tshun
三點金草,珠仔草,Tsu-?-tsh?u
三點金草,胡蠅翼,H?o-s?n-si?t
三點金草,蠅翼草,S?n-si?t-tsh?u
三點金草,蠅翼草,S?n-si?t-tsh?u
三點金草,扁蓄,Pi?n-thiok
絨毛葉山螞蝗,白?香,Pe?h-kh?ng-hiunn
扁豆,白肉豆,Pe?h-bah-t?u
扁豆,肉豆,Bah-t?u
扁豆,烏仔豆,Oo-?-t?u
扁豆,蛾眉豆,Ng?o-b?-t?u
榼藤子,山芙蓉,Suann-ph?-i?ng
榼藤子,牛腸麻,G?-tn?g-mu?
榼藤子,烏鴨胘藤,Oo-ah-ki?n-t?n
榼藤子,鴨胘藤,Ah-ki?n-t?n
珊瑚刺桐,龍牙花,L?ng-g?-hue
雞冠刺桐,海紅豆,H?i-?ng-t?u
刺桐,大冇樹,Tu?-ph?nn-tsh?u
刺桐,刺桐,Tsh?-t?ng
刺桐,雞公樹,Ke-kang-tsh?u
大葉佛來明豆,一條根,It-ti?u-kin
大葉佛來明豆,千觔拔,Tshian-kin-pua?t
大葉佛來明豆,木本白馬屎,Bo?k-p?n-pe?h-b?-s?i
大葉佛來明豆,臭空仔,Tsh?u-khang-?
菲島佛來明豆,菲律賓千金拔,Hui-li?h-pin-tshian-kim-pa?t
琉球乳豆,塗豆葉仔,Th?o-t?u-hio?h-?
恆春皂莢,雞?公,Ke-kak-kang
爪哇大豆,野生大豆,I?-sing-tu?-t?u
大豆,毛豆,M?o-t?u
大豆,白豆,Pe?h-t?u
大豆,青皮豆,Tshenn-phu?-t?u
大豆,烏豆,Oo-t?u
大豆,黃豆,N?g-t?u
野大豆,山青豆,Suann-tshenn-t?u
野大豆,台灣大豆,T?i-u?n-tu?-t?u
野大豆,蔓豆,B?n-t?u
墨水樹,陽森木,I?ng-sim-bo?k
墨水樹,楊蘇木,?unn-soo-bo?k
墨水樹,蘇木,Soo-bo?k
墨水樹,墨水樹,Ba?k-tsu?-tsh?u
毛木藍,紅跤蹄仔,?ng-kha-t?-?
太魯閣木藍,大菁,Tu?-tshenn
太魯閣木藍,山菁,Suann-tshenn
太魯閣木藍,番菁,Huan-tshenn
穗花木藍,十一葉馬棘,Tsa?p-it-hio?h-b?-kik
穗花木藍,穗花木藍,Su?-hue-ba?k-n?
野木藍,大菁,Tu?-tshenn
野木藍,山菁,Suann-tshenn
野木藍,野青樹,I?-tshenn-tsh?u
野木藍,番菁,Huan-tshenn
野木藍,染布菁,N?-p?o-tshenn
木藍,小菁,Si?-tshenn
木藍,本菁,P?n-tshenn
木藍,菁仔,Tshenn-?
三葉木藍,塗豆葉仔,Th?o-t?u-hio?h-?
脈葉木藍,菁仔,Tshenn-?
蘭嶼木藍,紅頭馬棘,?ng-th?u-b?-kik
雞眼草,山塗豆,Suann-th?o-t?u
雞眼草,胡蠅翼草,H?o-s?n-si?t-tsh?u
雞眼草,胡蠅翼,H?o-s?n-si?t
胡枝子,隨軍草,Su?-kun-tsh?u
山胡枝子,山隨軍草,Suann-su?-kun-tsh?u
華胡枝子,裡白胡枝仔,L?-pe?h-?o-ki-?
鐵掃帚,千里光,Tshian-l?-kng
鐵掃帚,胡蠅翼,H?o-s?n-si?t
鐵掃帚,鐵掃帚,Thih-s?u-tsh?u
毛胡枝子,台灣胡枝仔,T?i-u?n-h?o-ki-?
毛胡枝子,毛胡枝仔,M?o-?o-ki-?
銀合歡,白相思仔,Pe?h-siunn-si-?
銀合歡,臭菁仔,Tsh?u-tshenn-?
銀合歡,細葉番婆樹,S?-hio?h-huan-p?-tsh?u
羅頓豆,羅特豆,L?-ti?k-t?u
百脈根,烏跤擬三葉草,Oo-kha-g?-sann-hio?h-tsh?u
百脈根,百脈根,Pah-me?h-kin
台灣馬鞍樹,烏槐,Oo-hu?i
台灣馬鞍樹,馬鞍樹,B?-uann-tsh?u
天藍苜蓿,天藍,Thian-l?m
天藍苜蓿,斑鴿天藍,Pan-kah-thian-l?m
天藍苜蓿,金花菜,Kim-hue-tsh?i
苜蓿,金花菜,Kim-hue-tsh?i
紫苜蓿,紫花苜蓿,Ts?-hue-bo?k-siok
紫苜蓿,金花菜,Kim-hue-tsh?i
印度草木犀,郎日巴花,L?ng-ji?t-pa-hue
印度草木犀,野苜蓿,I?-bo?k-siok
雞血藤,紅口藤,?ng-kh?u-t?n
雞血藤,葛藤,Kuah-t?n
雞血藤,過山龍,Ku?-suann-l?ng
魚藤,魚藤,H?-t?n
魚藤,毒藤,Th?u-t?n
魚藤,風藤,Hong-t?n
魚藤,蘆藤,L?o-t?n
含羞草,畏擽草,U?-ngiau-tsh?u
含羞草,見笑草,Ki?n-si?u-tsh?u
含羞草,愛睏草,?i-kh?n-tsh?u
一條根,一條根,It-ti?u-kin
血藤,青山龍,Tshenn-suann-l?ng
血藤,青山龍藤,Tshenn-suann-l?ng-t?n
血藤,血藤,Huih-t?n
台灣紅豆樹,九江,K?u-kang
台灣紅豆樹,生猴公樹,Tshinn-k?u-kang-tsh?u
豆薯,葛薯,Kuah-ts?
豆薯,豆薯,T?u-ts?
小豆,吉豆,Kiat-t?u
菜豆,四季豆,S?-ku?-t?u
菜豆,敏豆,B?n-t?u
菜豆,龍爪豆,L?ng-ji?u-t?u
菜豆,菜豆,Tsh?i-t?u
排錢樹,阿婆樹,A-p?-tsh?u
豌豆,荷蘭豆,H?-l?n-t?u
金龜樹,羊犅豆,?unn-k?ng-t?u
頷垂豆,烏雞骨,Oo-ke-kut
頷垂豆,番仔怨,Huan-?-u?n
頷垂豆,番仔灣,Huan-?-uan
頷垂豆,雷公根,Lu?-kong-kin
頷垂豆,雞眉,Ke-b?i
頷垂豆,頷垂豆,?m-su?-t?u
水黃皮,九重炊,K?u-t?ng-tshue
水黃皮,九重炊舅,K?u-t?ng-tshue-k?
水黃皮,水流豆,Tsu?-l?u-t?u
水黃皮,烏樹,Oo-tsh?u
水黃皮,臭腥仔,Tsh?u-tsh?nn-?
四稜豆,豆菜,T?u-tsh?i
四稜豆,翼豆,Si?t-t?u
印度紫檀,青龍木,Tshenn-l?ng-bo?k
印度紫檀,檀仔,Tu?nn-?
印度紫檀,藥木,Io?h-bo?k
印度紫檀,紫檀,Ts?-tu?nn
印度紫檀,花梨,Hue-l?i
印度紫檀,印度紫檀,?n-t?o-ts?-tu?nn
紫檀,赤檀,Tshiah-tu?nn
紫檀,紅木,?ng-bo?k
紫檀,紅檀,?ng-tu?nn
葛藤,野葛,I?-kuah
葛藤,葛麻藤,Kuah-mu?-t?n
葛藤,葛藤,Kuah-t?n
葛藤,粉葛,H?n-kuah
山葛,山肉豆,Suann-bah-t?u
山葛,山葛,Suann-kuah
山葛,乾葛,Kan-kuah
山葛,葛藤草,Kuah-t?n-tsh?u
假菜豆,假菜豆,K?-tsh?i-t?u
密子豆,密子草,Ba?t-ts?-tsh?u
大花田菁,白蝴蝶,Pe?h-?o-tia?p
大花田菁,田菁,Tsh?n-tshenn
田菁,山菁,Suann-tshenn
田菁,田菁草,Tsh?n-tshenn-tsh?u
田菁,田菁,Tsh?n-tshenn
印度田菁,臭菁仔,Tsh?u-tshenn-?
毛苦參,毛苦參,M?o-kh?o-sim
黎豆,虎爪豆,H?o-ji?u-t?u
黎豆,富貴豆,H?-ku?-t?u
葫蘆茶,一條根,It-ti?u-kin
葫蘆茶,龍舌?,L?ng-tsi?h-h?ng
葫蘆茶,山綠豆,Suann-li?k-t?u
葫蘆茶,草猴草,Tsh?u-k?u-tsh?u
羅晃子,九層皮果,K?u-tsan-phu?-k?
羅晃子,酸果樹,Sng-k?-tsh?u
羅晃子,羅望子,L?-b?ng-ts?
台灣灰毛豆,白葉菜,Pe?h-hio?h-tsh?i
台灣灰毛豆,苦草,Kh?o-tsh?u
台灣灰毛豆,烏仔草,Oo-?-tsh?u
台灣灰毛豆,葉仔草,Hio?h-?-tsh?u
台灣灰毛豆,鯁仔草,K?nn-?-tsh?u
灰毛豆,苦草,Kh?o-tsh?u
灰毛豆,烏仔草,Oo-?-tsh?u
灰毛豆,葉仔草,Hio?h-?-tsh?u
灰毛豆,鯁仔草,K?nn-?-tsh?u
野黃豆,台灣野黃豆,T?i-u?n-i?-n?g-t?u
紅菽草,紅三葉草,?ng-sann-hio?h-tsh?u
菽草,白三葉草,Pe?h-sann-hio?h-tsh?u
兔尾草,狗尾草,K?u-bu?-tsh?u
兔尾草,貓尾草,Niau-bu?-tsh?u
大葉兔尾草,圓葉貓尾草,?nn-hio?h-niau-bu?-tsh?u
羽葉兔尾草,細葉貓尾草,S?-hio?h-niau-bu?-tsh?u
多花野豌豆,草藤,Tsh?u-t?n
蠶豆,蠶豆,Tsh?n-t?u
蠶豆,馬齒豆,B?-kh?-t?u
蠶豆,齒豆仔,Kh?-t?u-?
烏嘴豆,烏喙豆,Oo-tshu?-t?u
濱豇豆,豆仔藤,T?u-?-t?n
毛豇豆,毛扁豆,M?o-p?nn-t?u
豇豆,米豆,B?-t?u
豇豆,角豆,Kak-t?u
豇豆,豇豆,Kang-t?u
豇豆,長豆,Tn?g-t?u
豇豆,飯豆,Pn?g-t?u
赤小豆,卵仁豆,Nn?g-j?n-t?u
赤小豆,飯豆,Pn?g-t?u
野豇豆,紅菜豆,?ng-tsh?i-t?u
日本紫藤,藤蘿,T?n-l?
日本紫藤,茱藤,Tsu-t?n
丁葵草,丁葵草,Ting-khu?-tsh?u
假赤楊,冇刐,Ph?nn-t?inn
假赤楊,冇刐樹,Ph?nn-t?inn-tsh?u
假赤楊,刐招樹,T?inn-tsio-tsh?u
假赤楊,刐招,T?inn-tsio
烏皮九芎,白樹,Pe?h-tsh?u
烏皮九芎,烏雞母樹,Oo-ke-b?-tsh?u
烏皮九芎,葉下白,Hio?h-h?-pe?h
烏皮九芎,烏皮九芎,Oo-phu?-k?u-kiong
恆春野茉莉,早田氏紅皮,Ts?-ti?n-s?-?ng-phu?
恆春野茉莉,早田氏野茉莉,Ts?-ti?n-s?-i?-ba?k-l?
恆春野茉莉,恆春野茉莉,H?ng-tshun-i?-ba?k-l?
蘭嶼野茉莉,蘭嶼安息香,L?n-s?-an-sik-hiunn
蘭嶼野茉莉,大花安息香,Tu?-hue-an-sik-hiunn
蘭嶼野茉莉,大花野茉莉,Tu?-hue-i?-ba?k-l?
台灣野茉莉,台灣野茉莉,T?i-u?n-i?-ba?k-l?
台灣野茉莉,苗栗白花龍,Bi?u-li?k-pe?h-hue-li?ng
台灣野茉莉,台灣白花龍,T?i-u?n-pe?h-hue-li?ng
台灣野茉莉,白花龍,Pe?h-hue-li?ng
紅皮,赤血仔樹,Tshiah-huih-?-tsh?u
紅皮,赤尾仔,Tshiah-bu?-?
紅皮,葉下白,Hio?h-h?-pe?h
紅皮,紅皮,?ng-phu?
玉山灰木,竹山灰木,Tik-san-hue-bo?k
玉山灰木,柳葉灰木,L?u-hio?h-hue-bo?k
玉山灰木,高山灰木,Ko-suann-hue-bo?k
玉山灰木,台灣山礬,T?i-u?n-suann-hu?n
玉山灰木,高山灰木,Ko-suann-hue-bo?k
玉山灰木,薄葉山礬,Po?h-hio?h-suann-hu?n
玉山灰木,玉山灰木,Gio?k-suann-hue-bo?k
鐵銹葉灰木,焦溝灰木,Ta-kau-hue-bo?k
鐵銹葉灰木,鐵鉎葉山礬,Thih-sian-hio?h-suann-hu?n
鐵銹葉灰木,鉎葉山礬,Sian-hio?h-suann-hu?n
小西氏灰木,山豬肝,Suann-ti-kuann
小西氏灰木,白門,Pe?h-mn?g
小西氏灰木,白紋,Pe?h-b?n
蘭嶼銹葉灰木,蘭嶼山礬,L?n-s?-suann-hu?n
蘭嶼銹葉灰木,蘭嶼灰木,L?n-s?-hue-bo?k
山羊耳,羊舌樹,?unn-tsi?h-tsh?u
山羊耳,山羊耳,Suann-?unn-h?nn
楊桐葉灰木,長葉灰木,Tn?g-hio?h-hue-bo?k
楊桐葉灰木,楊桐葉山礬,?unn-t?ng-hio?h-suann-hu?n
楊桐葉灰木,龜角灰木,Ku-kak-hue-bo?k
楊桐葉灰木,巒大山礬,Lu?n-tu?-suann-hu?n
楊桐葉灰木,巒大灰木,Lu?n-tu?-hue-bo?k
平遮那灰木,山礬,Suann-hu?n
阿里山灰木,毛灰木,M?o-hue-bo?k
阿里山灰木,水車寮灰木,Tsu?-tshia-li?u-hue-bo?k
阿里山灰木,光葉山礬,Kng-hio?h-suann-hu?n
日本灰木,四川灰木,S?-tshuan-hue-bo?k
日本灰木,冬青葉灰木,Tang-tshing-hio?h-hue-bo?k
日本灰木,山礬,Suann-hu?n
日本灰木,日本灰木,Ji?t-p?n-hue-bo?k
小葉白筆,細葉白門,Su?-hio?h-pe?h-mn?g
小葉白筆,細葉白紋,S?-hio?h-pe?h-b?n
能高山灰木,能高山礬,L?ng-ko-suann-hu?n
能高山灰木,能高山灰木,L?ng-ko-suann-hue-bo?k
能高山灰木,山礬,Suann-hu?n
灰木,牛屎烏,G?-s?i-oo
南嶺灰木,南嶺山礬,L?m-ni?-suann-hu?n
南嶺灰木,深山灰木,Tshim-suann-hue-bo?k
枇杷葉灰木,枇杷葉山礬,P?-p?-hio?h-suann-hu?n
枇杷葉灰木,枇杷葉灰木,P?-p?-hio?h-hue-bo?k
尾葉灰木,大萼山礬,Tu?-go?k-suann-hu?n
尾葉灰木,倒卵葉山礬,T?-nn?g-hio?h-suann-hu?n
尾葉灰木,草山灰木,Tsh?u-suann-hue-bo?k
月桂葉灰木,埔崙山礬,Poo-l?n-suann-hu?n
月桂葉灰木,蕘花葉山礬,Gi?u-hue-hio?h-suann-hu?n
月桂葉灰木,月桂葉山礬,Gua?t-ku?-hio?h-suann-hu?n
桃葉珊瑚,桃葉珊瑚,Th?-hio?h-san-?o
燈台樹,五加皮,Ng?o-ka-p?
燈台樹,六角樹,La?k-kak-tsh?u
燈台樹,水木,Tsu?-ba?k
燈台樹,瑞木,Su?-bo?k
燈台樹,雞胘皮,Ke-ki?n-phu?
四照木,小六角,Si?-la?k-kak
四照木,石棗,Tsio?h-ts?
四照木,羊婆奶,?unn-p?-ling
四照木,羊梅,?unn-mu?
四照木,青皮樹,Tshenn-phu?-tsh?u
四照木,涼子,Li?ng-ts?
梜木,光皮木,Kng-phu?-bo?k
梜木,大葉燈台樹,Tu?-hio?h-ting-t?i-tsh?u
台灣青莢葉,大部參,Tu?-p?o-sim
台灣青莢葉,青莢葉,Tshenn-kiap-hio?h
台灣青莢葉,通條花,Thong-ti?u-hue
台灣青莢葉,陰症藥,Im-ts?ng-io?h
台灣青莢葉,葉長花,Hio?h-tn?g-hue
華八角楓,包仔樹,Pau-?-tsh?u
三葉五加,三加皮,Sann-ka-ph?
三葉五加,烏子仔草,Oo-ts?-?-tsh?u
刺蔥,刺蔥樹,Tsh?-tshang-tsh?u
刺蔥,細號刺蔥,S?-h?-tsh?-tshang
刺蔥,刺蔥,Tsh?-tshang
蘭嶼八角金盤,大號飯篱樹,Tu?-h?-pn?g-l?-tsh?u
蘭嶼八角金盤,八角金盤,Peh-kak-kim-pu?nn
台灣樹參,尖齒樟,Tsiam-kh?-tsiunn
台灣樹參,台灣樹參,T?i-u?n-tsh?u-sim
台灣樹參,樹參,Tsh?u-sim
台灣八角金盤,台灣八角金盤,T?i-u?n-peh-kak-kim-pu?nn
台灣八角金盤,八角金盤,Peh-kak-kim-pu?nn
台灣常春藤,台灣常春藤,T?i-u?n-si?ng-tshun-t?n
台灣常春藤,常春藤,Si?ng-tshun-t?n
台灣常春藤,�Z山虎,Peh-suann-h?o
台灣五葉參,五葉樹參,G?o-hio?h-tsh?u-sim
台灣五葉參,寄生蔥木,Ki?-sinn-tshang-bo?k
台灣五葉參,台灣五葉參,T?i-u?n-g?o-hio?h-sim
福祿桐,福祿桐,Hok-lo?k-t?ng
福祿桐,南洋參,L?m-?unn-sim
鵝掌蘗,江某松,Kang-b?o-tsh?ng
鵝掌蘗,狗跤蹄,K?u-kha-t?
鵝掌柴,江某,Kang-b?o
鵝掌柴,飯篱樹,Pn?g-l?-tsh?u
鵝掌柴,鴨母樹,Ah-b?-tsh?u
鵝掌柴,鴨母冇,Ah-b?-ph?nn
鵝掌柴,鴨跤木,Ah-kha-bo?k
鵝掌柴,鴨跤樹,Ah-kha-tsh?u
鵝掌柴,鴨麻瓜,Ah-mu?-kue
鵝掌藤,五加皮,Ng?o-ka-p?
鵝掌藤,狗跤蹄,K?u-kha-t?
鵝掌藤,九筆榕,K?u-pit-tsh?ng
鵝掌藤,狗跤榕,K?u-kha-tsh?ng
鵝掌藤,江某松,Kang-b?o-tsh?ng
台灣鵝掌柴,台灣江某,T?i-u?n-kang-b?o
台灣鵝掌柴,台灣鴨跤木,T?i-u?n-ah-kha-bo?k
通脫木,花草,Hue-tsh?
通脫木,蓪草,Thong-tsh?
通脫木,草仔,Tsh?-?
通脫木,草,Tsh?
台灣糯米條,台灣秫米條,T?i-u?n-tsu?t-b?-ti?u
阿里山忍冬,阿里山金銀花,A-l?-san-kim-g?n-hue
阿里山忍冬,尖葉金銀花,Tsiam-hio?h-kim-g?n-hue
阿里山忍冬,金銀花,Kim-g?n-hue
裡白忍冬,紅星金銀花,?ng-tshenn-kim-g?n-hue
裡白忍冬,金銀花,Kim-g?n-hue
忍冬,四時春,S?-s?-tshun
忍冬,忍冬藤,J?m-tong-t?n
忍冬,金銀花,Kim-g?n-hue
川上氏忍冬,川上氏金銀花,Tshuan-si?ng-s?-kim-g?n-hue
川上氏忍冬,金銀花,Kim-g?n-hue
追分忍冬,玉山金銀花,Gio?k-suann-kim-g?n-hue
追分忍冬,金銀花,Kim-g?n-hue
冇骨消,七葉蓮,Tshit-hio?h-li?n
冇骨消,冇骨消,Ph?nn-kut-siau
狹葉莢迷,太平山莢迷,Th?i-p?ng-suann-kiap-b?
狹葉莢迷,卵葉秫米樹,Nn?g-hio?h-tsu?t-b?-tsh?u
假繡球,假繡球,K?-s?u-k?u
玉山莢迷,玉山秫米樹,Gio?k-suann-tsu?t-b?-tsh?u
玉山莢迷,狹葉秫米樹,E?h-hio?h-tsu?t-b?-tsh?u
呂宋莢迷,紅子仔,?ng-ts?-?
紅子莢迷,圓甘杞,?nn-kam-k?
著生珊瑚樹,山豬肉,Suann-ti-bah
著生珊瑚樹,珊瑚樹,San-?o-tsh?u
台灣瑞木,台灣蠟瓣花,T?i-u?n-la?h-p?n-hue
台灣瑞木,台灣瑞木,T?i-u?n-su?-bo?k
台灣瑞木,瑞木,Su?-bo?k
小葉瑞木,瑞木,Su?-bo?k
細葉蚊母樹,細葉蠓母樹,S?-hio?h-b?ng-b?-tsh?u
細葉蚊母樹,蠓母,B?ng-b?
蚊母樹,蠓母樹,B?ng-b?-tsh?u
蚊母樹,蠓母,B?ng-b?
秀桂花,山桂花,Suann-ku?-hue
楓樹,楓,Png
楓樹,楓仔,Png-?
楓樹,楓仔樹,Png-?-tsh?u
楓樹,楓香,Png-hiunn
楓樹,楓香樹,Png-hiunn-tsh?u
台灣水絲梨,水絲梨,Tsu?-si-l?i
台灣水絲梨,假蠓母,K?-b?ng-b?
通條樹,通條樹,Thong-ti?u-tsh?u
通條樹,通條木,Thong-ti?u-ba?k
台灣黃楊,黃楊,N?g-?unn
台灣黃楊,萬年青,B?n-n?-tshing
三角咪草,三果吉祥草,Sann-k?-kiat-si?ng-tsh?u
三角咪草,台灣富貴草,T?i-u?n-h?-ku?-tsh?u
奧氏虎皮楠,虎皮楠,H?o-phu?-l?m
垂柳,水柳,Tsu?-l?u
垂柳,柳,L?u
垂柳,清明柳,Tshing-b?ng-l?u
褐毛柳,高山柳,Ko-suann-l?u
水社柳,水社柳,Tsu?-si?-l?u
台東柳,台東柳,T?i-tang-l?u
玉山柳,玉山柳,Gio?k-suann-l?u
花蓮柳,花蓮柳,Hua-li?n-l?u
高山柳,南湖山柳,L?m-?o-suann-l?u
高山柳,高山柳,Ko-suann-l?u
水柳,水柳仔,Tsu?-l?u-?
水柳,水柳樹,Tsu?-l?u-tsh?u
水柳,水柳,Tsu?-l?u
恆春楊梅,恆春楊梅,H?ng-tshun-?unn-bu?
銳葉楊梅,紅樹梅,?ng-tsh?u-m?
銳葉楊梅,楊桃,?unn-th?
銳葉楊梅,楊梅,?unn-bu?
銳葉楊梅,樹梅,Tsh?u-m?
台北榿木,台北赤楊,T?i-pak-tshiah-i?ng
台北榿木,水柳柯,Tsu?-l?u-kho
台北榿木,水柯仔,Tsu?-kho-?
赤楊,赤楊,Tshiah-i?ng
赤楊,水柳柯,Tsu?-l?u-kho
赤楊,水柯仔,Tsu?-kho-?
太魯閣千金榆,太魯閣千金榆,Th?i-l?o-koh-tshian-kim-j?
太魯閣千金榆,新城千金榆,Sin-si?nn-tshian-kim-j?
太魯閣千金榆,千金榆,Tshian-kim-j?
阿里山千金榆,雞油舅,Ke-?u-k?
日本板栗,茅栗,Hm?-la?t
日本板栗,栗子,La?t-ts?
赤栲,大葉狗栗,Tu?-hio?h-k?u-la?t
赤栲,大葉校栗,Tu?-hio?h-k?u-la?t
赤栲,大葉栲栗,Tu?-hio?h-kh?-la?t
赤栲,赤狗,Tshiah-k?u
赤栲,赤柯,Tshiah-kho
赤栲,赤校,Tshiah-k?u
赤栲,赤鱗,Tshiah-l?n
赤栲,赤鱗樹,Tshiah-l?n-tsh?u
長尾栲,長尾柯,Tn?g-bu?-kho
長尾栲,柯仔,Kho-?
鋸葉長尾栲,水柯,Tsu?-kho
鋸葉長尾栲,水柯仔,Tsu?-kho-?
鋸葉長尾栲,白九欑,Pe?h-k?u-tsan
鋸葉長尾栲,白校欑,Pe?h-k?u-tsan
鋸葉長尾栲,刺苞柯,Tsh?-b?o-kho
鋸葉長尾栲,柯絲,Kho-si
甜櫧栲,淋漓柯,L?m-l?-kho
台灣栲,校力,K?u-la?t
刺栲,火燒柯,Hu?-sio-kho
刺栲,赤校,Tshiah-k?u
刺栲,厚栗,K?u-la?t
刺栲,紅皮柯,?ng-phu?-kho
刺栲,校栗,K?u-la?t
刺栲,鉤栗,Koo-lik
刺栲,栲樹,Kh?-tsh?u
印度栲,恆春苦櫧,H?ng-tshun-kh?o-tsu
印度栲,恆春栲樹,H?ng-tshun-kh?-tsh?u
毛刺栲,毛刺栲,M?o-tsh?-kh?
毛刺栲,栲樹,Kh?-tsh?u
毛刺栲,櫧,Tsu
毛刺栲,細刺苦櫧,S?-tsh?-kh?o-tsu
星刺栲,星刺栲,Sing-tsh?-kh?
星刺栲,星刺苦櫧,Sing-tsh?-kh?o-tsu
星刺栲,短刺櫧,T?-tsh?-tsu
毽子椆,毽子櫧,Ki?n-ts?-tsu
毽子椆,毽子櫟,Ki?n-ts?-li?k
毽子椆,毽子椆,Ki?n-ts?-t?u
嶺南青剛櫟,嶺南椆,Ni?-l?m-t?u
赤皮椆,石櫧,Tsio?h-tsu
赤皮椆,赤皮,Tshiah-phu?
赤皮椆,赤柯,Tshiah-kho
青剛櫟,九層,K?u-tsan
青剛櫟,九欑,K?u-tsan
青剛櫟,白校欑,Pe?h-k?u-tsan
青剛櫟,校欑,K?u-tsan
青剛櫟,校欑樹,K?u-tsan-tsh?u
青剛櫟,鐵椆,Thih-t?u
圓果青剛櫟,圓果椆,?nn-k?-t?u
錐果椆,白狗櫟,Pe?h-k?u-li?k
錐果椆,椆仔樹,T?u-?-tsh?u
錐果椆,椆仔,T?u-?
赤椆,九層,K?u-tsan
赤椆,九層樹,K?u-tsan-tsh?u
金斗椆,白肉九層樹,Pe?h-bah-k?u-tsan-tsh?u
絨毛金斗椆,紅校欑,?ng-k?u-tsan
絨毛金斗椆,校欑仔,K?u-tsan-?
絨毛金斗椆,白肉校欑,Pe?h-bah-k?u-tsan
絨毛金斗椆,九層,K?u-tsan
絨毛金斗椆,九欑,K?u-tsan
狹葉椆,狹葉高山櫟,E?h-hio?h-ko-suann-li?k
狹葉椆,狹葉櫟,E?h-hio?h-li?k
台灣水青岡,石灰木,Tsio?h-he-ba?k
台灣水青岡,白半樹,Pe?h-pu?nn-tsh?u
台灣水青岡,雜子樹,Tsa?p-ts?-tsh?u
楒,淋漓,L?m-l?
楒,淋漓樹,L?m-l?-tsh?u
楒,楒仔,Su-?
楒,楒仔樹,Su-?-tsh?u
杏葉石櫟,校力,K?u-la?t
杏葉石櫟,校栗,K?u-la?t
杏葉石櫟,校櫟,K?u-li?k
杏葉石櫟,石櫟,Tsio?h-li?k
鬼石櫟,鬼櫟,Ku?-li?k
鬼石櫟,鬼石櫟,Ku?-tsio?h-li?k
鬼石櫟,櫧葉石櫟,Tsu-hio?h-tsio?h-li?k
短尾柯,九層,K?u-tsan
短尾柯,大葉杜,Tu?-hio?h-t?o
短尾柯,杜仔,T?o-?
短尾柯,杜仔樹,T?o-?-tsh?u
短尾柯,油葉杜,?u-hio?h-t?o
台灣柯,紅九層,?ng-k?u-tsan
台灣柯,紅九層樹,?ng-k?u-tsan-tsh?u
台灣柯,紅校欑,?ng-k?u-tsan
大葉柯,大葉杜仔,Tu?-hio?h-t?o-?
大葉柯,大葉校栗,Tu?-hio?h-k?u-la?t
后大埔柯,朱仔,Tsu-?
后大埔柯,杜仔,T?o-?
油葉柯,幼葉杜,?u-hio?h-t?o
油葉柯,油葉杜仔,?u-hio?h-t?o-?
南投柯,黃肉杜,N?g-bah-t?o
菱果柯,紅肉杜,?ng-bah-t?o
三斗柯,赤皮杜仔,Tshiah-phu?-t?o-?
三斗柯,赤皮杜仔樹,Tshiah-phu?-t?o-?-tsh?u
阿里山三斗柯,阿里山石櫟,A-l?-san-tsio?h-li?k
阿里山三斗柯,阿里山赤柯,A-l?-san-tshiah-kho
阿里山三斗柯,阿里山三斗柯,A-l?-san-sann-t?u-kho
阿里山三斗柯,紅肉杜,?ng-bah-t?o
阿里山三斗柯,赤皮杜仔,Tshiah-phu?-t?o-?
屏東三斗柯,里港三斗石櫟,L?-k?ng-sann-t?u-tsio?h-li?k
屏東三斗柯,紅肉杜,?ng-bah-t?o
屏東三斗柯,赤皮杜仔,Tshiah-phu?-t?o-?
麻櫟,麻櫟,Mu?-li?k
麻櫟,櫟樹,Li?k-tsh?u
麻櫟,橡樹,Tsh?unn-tsh?u
麻櫟,柴櫟,Tsh?-li?k
麻櫟,黃麻櫟,N?g-mu?-li?k
銳齒孛孛櫟,槲櫟,Ha?k-li?k
銳齒孛孛櫟,大槲樹,Tu?-ha?k-tsh?u
槲櫟,柞櫟,Ts?-li?k
槲櫟,槲樹,Ha?k-tsh?u
高山櫟,高山櫟,Ko-suann-li?k
答答卡高山櫟,高山櫟,Ko-suann-li?k
太魯閣櫟,太魯閣櫟,Th?i-l?o-koh-li?k
太魯閣櫟,火炭樹,Hu?-thu?nn-tsh?u
栓皮櫟,校力,K?u-la?t
栓皮櫟,猴栗,K?u-la?t
栓皮櫟,綿栗,M?-li?k
黃杞,仁杞,J?n-k?
黃杞,黃杞,N?g-k?
黃杞,黃櫸,N?g-k?
化香樹,山麻柳,Suann-mu?-l?u
化香樹,化木香,Hu?-ba?k-hiunn
楓楊,杞柳,K?-l?u
楓楊,楓柳,Png-l?u
楓楊,溪柳,Khe-l?u
楓楊,溪麻柳,Khe-mu?-l?u
楓楊,樞柳,Tshu-l?u
木麻黃,番麻黃,Huan-mu?-h?ng
木麻黃,木麻,Bo?k-mu?
木麻黃,麻黃,Mu?-h?ng
木麻黃,木麻黃,Bo?k-mu?-h?ng
佛氏木麻黃,木麻,Bo?k-mu?
佛氏木麻黃,麻黃,Mu?-h?ng
佛氏木麻黃,木麻黃,Bo?k-mu?-h?ng
